source_system,job_name,algorithm,antecedent,consequent,antecedent_size,consequent_size,support_count,support,confidence,lift,min_support,min_confidence
uci,uci_product,apriori,ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,1,1,754,0.022243856388470956,0.7073170731707317,25.37135114208285,0.02,0.25
uci,uci_product,apriori,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,1,1,754,0.022243856388470956,0.7978835978835979,25.371351142082847,0.02,0.25
uci,uci_product,apriori,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,1,1,702,0.020709797327197098,0.6776061776061776,20.07763689013689,0.02,0.25
uci,uci_product,apriori,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,1,1,702,0.020709797327197098,0.6136363636363636,20.07763689013689,0.02,0.25
uci,uci_product,apriori,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,1,1,703,0.020739298462990826,0.6344765342960289,14.385853567245814,0.02,0.25
uci,uci_product,apriori,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,1,1,703,0.020739298462990826,0.47023411371237456,14.385853567245812,0.02,0.25
uci,uci_product,apriori,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,1,1,857,0.025282473375224945,0.7331052181351583,13.169087217343646,0.02,0.25
uci,uci_product,apriori,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,1,1,857,0.025282473375224945,0.4541600423953365,13.169087217343646,0.02,0.25
uci,uci_product,apriori,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,1,1,993,0.029294627843171963,0.6014536644457904,11.524858600180304,0.02,0.25
uci,uci_product,apriori,WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,1,1,993,0.029294627843171963,0.5613340870548332,11.524858600180304,0.02,0.25
uci,uci_product,apriori,PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,1,1,679,0.020031271203941353,0.5547385620915033,11.232958804788344,0.02,0.25
uci,uci_product,apriori,PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,1,679,0.020031271203941353,0.4056152927120669,11.232958804788343,0.02,0.25
uci,uci_product,apriori,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,1,1,786,0.023187892733870254,0.4304490690032859,9.852081088456707,0.02,0.25
uci,uci_product,apriori,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,1,1,786,0.023187892733870254,0.5307224848075625,9.852081088456705,0.02,0.25
uci,uci_product,apriori,HEART OF WICKER LARGE,HEART OF WICKER SMALL,1,1,869,0.025636487004749683,0.4997124784358827,9.575327236597579,0.02,0.25
uci,uci_product,apriori,HEART OF WICKER SMALL,HEART OF WICKER LARGE,1,1,869,0.025636487004749683,0.49123798756359527,9.575327236597579,0.02,0.25
uci,uci_product,apriori,PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,1,1,736,0.021712835944183852,0.46670894102726695,8.968272660998451,0.02,0.25
uci,uci_product,apriori,60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,1,1,736,0.021712835944183852,0.41723356009070295,8.968272660998451,0.02,0.25
uci,uci_product,apriori,LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,1,1,691,0.020385284833466088,0.4367888748419722,8.257575287517195,0.02,0.25
uci,uci_product,apriori,LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,1,1,691,0.020385284833466088,0.38538761851645287,8.257575287517195,0.02,0.25
uci,uci_product,apriori,LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,1,1,734,0.021653833672596396,0.4639696586599241,8.195507826782412,0.02,0.25
